Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Cidra Municipio, Puerto Rico",72,041,20389.0,38.7,37.9,40.0,816.0,7407.0,1263.0,3143.0,2629.0,4571.0,242.0,153.0
"Coamo Municipio, Puerto Rico",72,043,19110.0,39.4,38.2,41.0,836.0,9315.0,281.0,2974.0,2054.0,4183.0,37.0,258.0
"Dorado Municipio, Puerto Rico",72,051,29354.0,39.5,37.9,40.6,480.0,6191.0,407.0,2622.0,2291.0,5752.0,403.0,328.0
"Luquillo Municipio, Puerto Rico",72,089,19377.0,39.8,39.4,40.8,235.0,3700.0,547.0,1449.0,1276.0,1866.0,42.0,47.0
"Barranquitas Municipio, Puerto Rico",72,019,15694.0,35.5,33.5,37.5,627.0,5825.0,435.0,1973.0,1292.0,2424.0,10.0,25.0
"Orocovis Municipio, Puerto Rico",72,107,14296.0,37.9,36.7,39.0,703.0,4423.0,493.0,1031.0,870.0,1879.0,8.0,2.0
"San Lorenzo Municipio, Puerto Rico",72,129,18589.0,40.2,38.9,41.8,848.0,6393.0,647.0,3340.0,2801.0,4133.0,128.0,23.0
"Añasco Municipio, Puerto Rico",72,011,18765.0,41.3,40.3,42.7,494.0,5271.0,827.0,1792.0,1987.0,2450.0,10.0,141.0
"Ceiba Municipio, Puerto Rico",72,037,18998.0,40.9,39.6,41.8,200.0,2598.0,104.0,1176.0,665.0,1116.0,6.0,17.0
"Ciales Municipio, Puerto Rico",72,039,14432.0,40.5,40.4,40.6,273.0,3349.0,420.0,1069.0,1277.0,1490.0,23.0,34.0
"Comerío Municipio, Puerto Rico",72,045,13523.0,38.1,36.8,38.9,927.0,3856.0,540.0,1286.0,1159.0,1230.0,6.0,20.0
"Isabela Municipio, Puerto Rico",72,071,16333.0,40.8,39.4,42.4,861.0,8092.0,533.0,3642.0,2547.0,4572.0,106.0,105.0
"Jayuya Municipio, Puerto Rico",72,073,15615.0,36.3,34.7,39.2,266.0,3190.0,421.0,1339.0,648.0,1163.0,9.0,39.0
"Lares Municipio, Puerto Rico",72,081,12820.0,41.1,39.6,42.8,611.0,3877.0,361.0,2564.0,1339.0,2733.0,62.0,27.0
"Las Piedras Municipio, Puerto Rico",72,085,20587.0,38.1,37.2,39.2,271.0,7274.0,599.0,4337.0,2621.0,3697.0,188.0,102.0
"Río Grande Municipio, Puerto Rico",72,119,22584.0,40.2,37.7,41.6,790.0,10250.0,1631.0,3372.0,4121.0,5307.0,171.0,216.0
"San Juan Municipio, Puerto Rico",72,127,21677.0,41.8,39.2,43.9,5607.0,50330.0,3850.0,23699.0,28537.0,53804.0,10672.0,5132.0
"Vega Alta Municipio, Puerto Rico",72,143,18053.0,37.8,37.0,38.4,488.0,6544.0,485.0,2868.0,2616.0,3312.0,133.0,256.0
"Vega Baja Municipio, Puerto Rico",72,145,18900.0,40.1,38.2,41.5,1085.0,6091.0,720.0,3269.0,4706.0,5456.0,163.0,284.0
"Maricao Municipio, Puerto Rico",72,093,13462.0,42.7,42.2,42.9,214.0,1187.0,139.0,126.0,229.0,321.0,17.0,17.0
"Aibonito Municipio, Puerto Rico",72,009,18387.0,40.7,38.3,42.5,547.0,5574.0,313.0,1723.0,1233.0,2330.0,52.0,94.0
"Guayanilla Municipio, Puerto Rico",72,059,14988.0,40.3,38.8,41.2,285.0,3587.0,280.0,1132.0,1561.0,2423.0,76.0,114.0
"Juncos Municipio, Puerto Rico",72,077,18533.0,37.6,36.7,38.1,431.0,6480.0,1494.0,2322.0,3530.0,4008.0,83.0,112.0
"Lajas Municipio, Puerto Rico",72,079,13896.0,43.4,41.4,44.9,688.0,4106.0,259.0,1470.0,1843.0,1881.0,101.0,163.0
"Sabana Grande Municipio, Puerto Rico",72,121,15736.0,40.9,39.6,42.8,606.0,5148.0,350.0,1388.0,1510.0,2589.0,80.0,116.0
"Adjuntas Municipio, Puerto Rico",72,001,11680.0,39.5,37.1,42.0,572.0,2981.0,135.0,1683.0,733.0,1863.0,15.0,80.0
"Camuy Municipio, Puerto Rico",72,027,17579.0,40.1,38.8,41.5,805.0,5768.0,373.0,2585.0,2330.0,3799.0,69.0,195.0
"Guánica Municipio, Puerto Rico",72,055,12653.0,41.4,39.5,42.5,171.0,4246.0,358.0,786.0,810.0,1339.0,17.0,81.0
