State Name,Household Income,Median Age,Median Male Age,Median Female Age,No College Degree,No College Degree Percentage,Associates or Bachelors Degree,Associates or Bachelors Degree Percentage,Post Graduate Degree,Post Graduate Degree Percentage,White,White Percentage,Black or African American,Black or African American Percentage,American Indian and Alaska Native,American Indian and Alaska Native Percentage,Asian,Asian Percentage,Native Hawaiian and Other Pacific Islander,Native Hawaiian and Other Pacific Islander Percentage,Other,Other Percentage
Pennsylvania,53281.88,42.93,41.42,44.75,4195252.0,0.613298345509632,2346255.0,0.34299591768115517,298968.0,0.04370573680921281,10378174.0,0.830706821359005,1417611.0,0.11347074424976497,24995.0,0.0020006907766114087,417525.0,0.033420220704328,3665.0,0.0002933599398392003,251215.0,0.02010816297045149
Puerto Rico,18412.95,39.92,38.29,41.42,979803.0,0.5784121519310158,660256.0,0.3897723254423234,53894.0,0.03181552262666083,2389446.0,0.7331963973606175,338939.0,0.1040027076255376,10849.0,0.0033289924589069344,7789.0,0.0023900380000392765,136.0,4.173130928300701e-05,511785.0,0.15704013324561575
Rhode Island,69906.4,42.76,40.9,44.44,306639.0,0.567219755826859,205398.0,0.3799445061043285,28563.0,0.05283573806881243,854801.0,0.8340807656204566,68346.0,0.06668930430251688,5413.0,0.005281789778326805,35556.0,0.034694128460777365,759.0,0.0007406019659615823,59967.0,0.05851340987196075
South Carolina,42126.78,40.89,39.07,42.9,1508259.0,0.6096564642197555,880262.0,0.35581250866529585,85428.0,0.03453102711494861,3292598.0,0.6875282024340176,1332110.0,0.2781582184476754,14992.0,0.003130483226586055,71994.0,0.015033084939623562,3015.0,0.0006295628954213551,74328.0,0.015520448056676113
South Dakota,50408.74,40.52,39.43,41.74,260433.0,0.5817183981987778,172881.0,0.3861571244773239,14382.0,0.03212447732389836,724430.0,0.8707604173803505,14698.0,0.017666905863446283,74062.0,0.08902206980939983,11693.0,0.014054914291827283,381.0,0.0004579596634897969,6687.0,0.008037732991486277
Tennessee,43016.61,41.85,40.45,43.28,2162074.0,0.6472914981381276,1051055.0,0.314669602231732,127057.0,0.03803889963014036,5131786.0,0.7944088744682564,1107392.0,0.1714260946023765,17568.0,0.0027195551620153935,110605.0,0.017121835080527812,3784.0,0.0005857693950971225,88745.0,0.013737871291726782
Texas,49894.34,39.02,37.67,40.49,7487824.0,0.601377884852543,4497286.0,0.3611955011572058,466003.0,0.037426613990251316,20459525.0,0.7657692523481984,3286950.0,0.12302559536479515,130360.0,0.004879178755914966,1236852.0,0.04629351029925542,23531.0,0.0008807299425087071,1580393.0,0.0591517332893274
Utah,59208.76,34.24,33.64,34.88,739924.0,0.5528075046096927,543564.0,0.40610421940045605,54996.0,0.0410882759898512,2600077.0,0.8932952617586813,33619.0,0.011550309242789774,32079.0,0.011021219256951521,67545.0,0.02320609291782133,26742.0,0.00918761324758869,150596.0,0.051739503576167314
Vermont,55252.71,44.57,43.46,45.59,185137.0,0.5487426789652147,132941.0,0.3940346904417518,19306.0,0.05722263059303346,590499.0,0.9639619638411623,7921.0,0.012930661551646737,2072.0,0.003382442966167408,9680.0,0.015802146675917235,206.0,0.00033628535281394117,2197.0,0.0035864996122923726
Virginia,56270.04,41.75,40.35,43.25,2224213.0,0.5405881054784719,1647956.0,0.4005306200223992,242263.0,0.05888127449912892,5720209.0,0.70847205006485,1605447.0,0.19884139327085135,22499.0,0.002786596198567056,520119.0,0.06441893542835231,5469.0,0.0006773587541652176,200265.0,0.02480366628321399
Washington,54112.46,41.84,40.92,42.84,1964102.0,0.5321920159627637,1547989.0,0.41944226246813177,178498.0,0.048365721569104556,5500837.0,0.8119036183842506,261743.0,0.03863231882470775,94754.0,0.013985347221955729,578822.0,0.08543203083465457,46071.0,0.006799912741021196,293007.0,0.043246771993410114
West Virginia,41701.91,43.72,42.66,44.86,698120.0,0.7192027081878177,245165.0,0.2525688018576553,27401.0,0.028228489954527005,1714591.0,0.9498892824159868,65300.0,0.03617642349794437,3322.0,0.0018403993699873079,14096.0,0.0078092322454368125,541.0,0.00029971585164453147,7193.0,0.003984946619000212
Wisconsin,53849.42,43.22,42.25,44.21,1807506.0,0.5876648341555195,1160288.0,0.37723828031145645,107949.0,0.03509688553302405,4950577.0,0.8789890354015517,365884.0,0.06496374548438724,50094.0,0.00889433226458357,152325.0,0.027045737258008788,1811.0,0.00032154820399969746,111435.0,0.01978560138746896
Wyoming,59065.22,39.8,39.26,40.55,183721.0,0.6046616486912563,110017.0,0.36208740755855856,10103.0,0.03325094375018513,532394.0,0.9375064934150168,6121.0,0.010778628696404013,13549.0,0.023858787813686975,5102.0,0.00898424499412731,470.0,0.0008276352699411675,10247.0,0.01804420981082371
